Location,new_start,new_end,X,lon,lat,Pod1,Pod2,Pod3,Group,start_date,end_date,Ortho,Scene,order_id_s_h
choma_A000127,09/02/2017,03/02/2018,22,27.0922,-16.7795,A000127,,,choma,11/01/2017,05/31/2018,0,85,0d688599-b6bb-47d8-a3cd-a6a8d736ec5b
choma_A000127,03/02/2018,07/30/2018,22,27.0922,-16.7795,A000127,,,choma,11/01/2017,05/31/2018,0,85,0d688599-b6bb-47d8-a3cd-a6a8d736ec5b
choma_A000212,09/02/2017,03/02/2018,23,26.9253,-16.8294,A000212,,,choma,11/01/2017,05/31/2018,0,2,97cfdbe9-39d1-41ab-8e6e-3d355b598b85
choma_A000212,03/02/2018,07/30/2018,23,26.9253,-16.8294,A000212,,,choma,11/01/2017,05/31/2018,0,2,97cfdbe9-39d1-41ab-8e6e-3d355b598b85
choma_A000247,09/02/2017,03/02/2018,24,27.1179,-16.7724,A000247,,,choma,11/01/2017,05/31/2018,0,76,95c69caa-67fa-405f-ae2d-0456838c7272
choma_A000247,03/02/2018,07/30/2018,24,27.1179,-16.7724,A000247,,,choma,11/01/2017,05/31/2018,0,76,95c69caa-67fa-405f-ae2d-0456838c7272
choma_A000302,09/02/2017,03/02/2018,25,26.989,-16.8297,A000302,,,choma,11/01/2017,05/31/2018,0,8,93903df1-57e2-4780-aaa6-3972ae8d4204
choma_A000302,03/02/2018,07/30/2018,25,26.989,-16.8297,A000302,,,choma,11/01/2017,05/31/2018,0,8,93903df1-57e2-4780-aaa6-3972ae8d4204
choma_A000308,09/02/2017,03/02/2018,26,26.7025,-16.8123,A000308,,,choma,11/01/2017,05/31/2018,0,0,
choma_A000308,03/02/2018,07/30/2018,26,26.7025,-16.8123,A000308,,,choma,11/01/2017,05/31/2018,0,0,
choma_A000352,09/02/2017,03/02/2018,27,27.3579,-16.6258,A000352,,,choma,11/01/2017,05/31/2018,0,0,
choma_A000352,03/02/2018,07/30/2018,27,27.3579,-16.6258,A000352,,,choma,11/01/2017,05/31/2018,0,0,
choma_A000401,09/02/2017,03/02/2018,28,27.2905,-16.5303,A000401,,,choma,11/01/2017,05/31/2018,0,0,
choma_A000401,03/02/2018,07/30/2018,28,27.2905,-16.5303,A000401,,,choma,11/01/2017,05/31/2018,0,0,
choma_A000407,09/02/2017,03/02/2018,29,26.903,-16.8556,A000407,,,choma,11/01/2017,05/31/2018,0,0,
choma_A000407,03/02/2018,07/30/2018,29,26.903,-16.8556,A000407,,,choma,11/01/2017,05/31/2018,0,0,
choma_A000412,09/02/2017,03/02/2018,30,26.792,-16.4051,A000412,,,choma,11/01/2017,05/31/2018,0,0,
choma_A000412,03/02/2018,07/30/2018,30,26.792,-16.4051,A000412,,,choma,11/01/2017,05/31/2018,0,0,
choma_A000413,09/02/2017,03/02/2018,31,27.4877,-16.6525,A000413,,,choma,11/01/2017,05/31/2018,0,0,
choma_A000413,03/02/2018,07/30/2018,31,27.4877,-16.6525,A000413,,,choma,11/01/2017,05/31/2018,0,0,
choma_A000414,09/02/2017,03/02/2018,32,27.0984,-17.2673,A000414,,,choma,11/01/2017,05/31/2018,0,0,
choma_A000414,03/02/2018,07/30/2018,32,27.0984,-17.2673,A000414,,,choma,11/01/2017,05/31/2018,0,0,
choma_A000421,09/02/2017,03/02/2018,33,26.9649,-16.754,A000421,,,choma,11/01/2017,05/31/2018,0,32,d24c8c01-afb3-403b-8a09-63ec3e39cae7
choma_A000421,03/02/2018,07/30/2018,33,26.9649,-16.754,A000421,,,choma,11/01/2017,05/31/2018,0,32,d24c8c01-afb3-403b-8a09-63ec3e39cae7
choma_A000443,09/02/2017,03/02/2018,34,26.9753,-16.7576,A000443,,,choma,11/01/2017,05/31/2018,0,35,862cebf0-812e-437b-82f1-6e5fd090bc59
choma_A000443,03/02/2018,07/30/2018,34,26.9753,-16.7576,A000443,,,choma,11/01/2017,05/31/2018,0,35,862cebf0-812e-437b-82f1-6e5fd090bc59
choma_A000473,09/02/2017,03/02/2018,35,26.8958,-16.2633,A000473,,,choma,11/01/2017,05/31/2018,0,0,
choma_A000473,03/02/2018,07/30/2018,35,26.8958,-16.2633,A000473,,,choma,11/01/2017,05/31/2018,0,0,
choma_A000493,09/02/2017,03/02/2018,36,27.107,-16.7713,A000493,,,choma,11/01/2017,05/31/2018,0,79,b153c57e-f687-42c6-b550-c2fe326023ae
choma_A000493,03/02/2018,07/30/2018,36,27.107,-16.7713,A000493,,,choma,11/01/2017,05/31/2018,0,79,b153c57e-f687-42c6-b550-c2fe326023ae
Choma_farmer,09/02/2020,03/02/2021,12,27.06964,-16.79983,A000301,,,Zam_20_21,11/01/2020,05/31/2021,103,140,365ec77d-7d82-4801-b6ee-e189a17931db
Choma_farmer,03/02/2021,07/30/2021,12,27.06964,-16.79983,A000301,,,Zam_20_21,11/01/2020,05/31/2021,103,140,365ec77d-7d82-4801-b6ee-e189a17931db
Choma_plot_5,09/02/2020,03/02/2021,10,27.06236,-16.83154,A000784,A000228,,Zam_20_21,11/01/2020,05/31/2021,101,149,6becffee-9664-4b4c-b57b-636524b94d8b
Choma_plot_5,03/02/2021,07/30/2021,10,27.06236,-16.83154,A000784,A000228,,Zam_20_21,11/01/2020,05/31/2021,101,149,6becffee-9664-4b4c-b57b-636524b94d8b
Choma_plot_9,09/02/2020,03/02/2021,11,27.06235,-16.83133,A000708,A000721,,Zam_20_21,11/01/2020,05/31/2021,101,150,90855fcd-2f63-4043-b846-d821292f3b35
Choma_plot_9,03/02/2021,07/30/2021,11,27.06235,-16.83133,A000708,A000721,,Zam_20_21,11/01/2020,05/31/2021,101,150,90855fcd-2f63-4043-b846-d821292f3b35
Kabwe_farmer,09/02/2020,03/02/2021,6,28.5067,-14.38201,A000709,A000408,,Zam_20_21,11/01/2020,05/31/2021,107,154,005bd9e0-7100-47bf-b587-ca259e831405
Kabwe_farmer,03/02/2021,07/30/2021,6,28.5067,-14.38201,A000709,A000408,,Zam_20_21,11/01/2020,05/31/2021,107,154,005bd9e0-7100-47bf-b587-ca259e831405
Kabwe_plot_3,09/02/2020,03/02/2021,4,28.49434,-14.39483,A000778,A000292,,Zam_20_21,11/01/2020,05/31/2021,113,166,2b9d3eda-604c-4bbe-9ade-59eabc4b8088
Kabwe_plot_3,03/02/2021,07/30/2021,4,28.49434,-14.39483,A000778,A000292,,Zam_20_21,11/01/2020,05/31/2021,113,166,2b9d3eda-604c-4bbe-9ade-59eabc4b8088
Kabwe_plot_5,09/02/2020,03/02/2021,5,28.49434,-14.39464,A000705,A000334,,Zam_20_21,11/01/2020,05/31/2021,113,166,b054d74d-9fbc-4669-a4be-7bd7336dbb08
Kabwe_plot_5,03/02/2021,07/30/2021,5,28.49434,-14.39464,A000705,A000334,,Zam_20_21,11/01/2020,05/31/2021,113,166,b054d74d-9fbc-4669-a4be-7bd7336dbb08
kenya_A000551,12/31/2017,07/01/2018,37,37.39699,0.13175,A000551,,,kenya,03/01/2018,12/31/2022,250,250,11957c43-f442-4ecf-bb69-0f48e1e23efb
kenya_A000551,07/01/2018,12/31/2018,37,37.39699,0.13175,A000551,,,kenya,03/01/2018,12/31/2022,250,250,11957c43-f442-4ecf-bb69-0f48e1e23efb
kenya_A000551,12/31/2018,07/01/2019,37,37.39699,0.13175,A000551,,,kenya,03/01/2018,12/31/2022,250,250,11957c43-f442-4ecf-bb69-0f48e1e23efb
kenya_A000551,07/01/2019,12/31/2019,37,37.39699,0.13175,A000551,,,kenya,03/01/2018,12/31/2022,250,250,11957c43-f442-4ecf-bb69-0f48e1e23efb
kenya_A000551,12/31/2019,07/01/2020,37,37.39699,0.13175,A000551,,,kenya,03/01/2018,12/31/2022,250,250,11957c43-f442-4ecf-bb69-0f48e1e23efb
kenya_A000551,07/01/2020,12/31/2020,37,37.39699,0.13175,A000551,,,kenya,03/01/2018,12/31/2022,250,250,11957c43-f442-4ecf-bb69-0f48e1e23efb
kenya_A000551,12/31/2020,07/01/2021,37,37.39699,0.13175,A000551,,,kenya,03/01/2018,12/31/2022,250,250,11957c43-f442-4ecf-bb69-0f48e1e23efb
kenya_A000551,07/01/2021,12/31/2021,37,37.39699,0.13175,A000551,,,kenya,03/01/2018,12/31/2022,250,250,11957c43-f442-4ecf-bb69-0f48e1e23efb
kenya_A000551,12/31/2021,07/01/2022,37,37.39699,0.13175,A000551,,,kenya,03/01/2018,12/31/2022,250,250,11957c43-f442-4ecf-bb69-0f48e1e23efb
kenya_A000551,07/01/2022,12/31/2022,37,37.39699,0.13175,A000551,,,kenya,03/01/2018,12/31/2022,250,250,11957c43-f442-4ecf-bb69-0f48e1e23efb
kenya_A000551,12/31/2022,03/01/2023,37,37.39699,0.13175,A000551,,,kenya,03/01/2018,12/31/2022,250,250,11957c43-f442-4ecf-bb69-0f48e1e23efb
kenya_A000659,12/31/2017,07/01/2018,38,36.98948,-0.07288,A000659,,,kenya,03/01/2018,12/31/2022,250,250,aaebdf60-d8f9-4f32-95ab-f27e27cf1485
kenya_A000659,07/01/2018,12/31/2018,38,36.98948,-0.07288,A000659,,,kenya,03/01/2018,12/31/2022,250,250,aaebdf60-d8f9-4f32-95ab-f27e27cf1485
kenya_A000659,12/31/2018,07/01/2019,38,36.98948,-0.07288,A000659,,,kenya,03/01/2018,12/31/2022,250,250,aaebdf60-d8f9-4f32-95ab-f27e27cf1485
kenya_A000659,07/01/2019,12/31/2019,38,36.98948,-0.07288,A000659,,,kenya,03/01/2018,12/31/2022,250,250,aaebdf60-d8f9-4f32-95ab-f27e27cf1485
kenya_A000659,12/31/2019,07/01/2020,38,36.98948,-0.07288,A000659,,,kenya,03/01/2018,12/31/2022,250,250,aaebdf60-d8f9-4f32-95ab-f27e27cf1485
kenya_A000659,07/01/2020,12/31/2020,38,36.98948,-0.07288,A000659,,,kenya,03/01/2018,12/31/2022,250,250,aaebdf60-d8f9-4f32-95ab-f27e27cf1485
kenya_A000659,12/31/2020,07/01/2021,38,36.98948,-0.07288,A000659,,,kenya,03/01/2018,12/31/2022,250,250,aaebdf60-d8f9-4f32-95ab-f27e27cf1485
kenya_A000659,07/01/2021,12/31/2021,38,36.98948,-0.07288,A000659,,,kenya,03/01/2018,12/31/2022,250,250,aaebdf60-d8f9-4f32-95ab-f27e27cf1485
kenya_A000659,12/31/2021,07/01/2022,38,36.98948,-0.07288,A000659,,,kenya,03/01/2018,12/31/2022,250,250,aaebdf60-d8f9-4f32-95ab-f27e27cf1485
kenya_A000659,07/01/2022,12/31/2022,38,36.98948,-0.07288,A000659,,,kenya,03/01/2018,12/31/2022,250,250,aaebdf60-d8f9-4f32-95ab-f27e27cf1485
kenya_A000659,12/31/2022,03/01/2023,38,36.98948,-0.07288,A000659,,,kenya,03/01/2018,12/31/2022,250,250,aaebdf60-d8f9-4f32-95ab-f27e27cf1485
kenya_A000660,12/31/2017,07/01/2018,39,37.21657,0.08684,A000660,,,kenya,03/01/2018,12/31/2022,250,250,10869e06-e5bf-4b90-abd0-b02f2deaa37b
kenya_A000660,07/01/2018,12/31/2018,39,37.21657,0.08684,A000660,,,kenya,03/01/2018,12/31/2022,250,250,10869e06-e5bf-4b90-abd0-b02f2deaa37b
kenya_A000660,12/31/2018,07/01/2019,39,37.21657,0.08684,A000660,,,kenya,03/01/2018,12/31/2022,250,250,10869e06-e5bf-4b90-abd0-b02f2deaa37b
kenya_A000660,07/01/2019,12/31/2019,39,37.21657,0.08684,A000660,,,kenya,03/01/2018,12/31/2022,250,250,10869e06-e5bf-4b90-abd0-b02f2deaa37b
kenya_A000660,12/31/2019,07/01/2020,39,37.21657,0.08684,A000660,,,kenya,03/01/2018,12/31/2022,250,250,10869e06-e5bf-4b90-abd0-b02f2deaa37b
kenya_A000660,07/01/2020,12/31/2020,39,37.21657,0.08684,A000660,,,kenya,03/01/2018,12/31/2022,250,250,10869e06-e5bf-4b90-abd0-b02f2deaa37b
kenya_A000660,12/31/2020,07/01/2021,39,37.21657,0.08684,A000660,,,kenya,03/01/2018,12/31/2022,250,250,10869e06-e5bf-4b90-abd0-b02f2deaa37b
kenya_A000660,07/01/2021,12/31/2021,39,37.21657,0.08684,A000660,,,kenya,03/01/2018,12/31/2022,250,250,10869e06-e5bf-4b90-abd0-b02f2deaa37b
kenya_A000660,12/31/2021,07/01/2022,39,37.21657,0.08684,A000660,,,kenya,03/01/2018,12/31/2022,250,250,10869e06-e5bf-4b90-abd0-b02f2deaa37b
kenya_A000660,07/01/2022,12/31/2022,39,37.21657,0.08684,A000660,,,kenya,03/01/2018,12/31/2022,250,250,10869e06-e5bf-4b90-abd0-b02f2deaa37b
kenya_A000660,12/31/2022,03/01/2023,39,37.21657,0.08684,A000660,,,kenya,03/01/2018,12/31/2022,250,250,10869e06-e5bf-4b90-abd0-b02f2deaa37b
kenya_A000662,12/31/2017,07/01/2018,40,37.41658,0.13246,A000662,,,kenya,03/01/2018,12/31/2022,250,250,f5bfef31-7577-4813-8e94-cd127eb457da
kenya_A000662,07/01/2018,12/31/2018,40,37.41658,0.13246,A000662,,,kenya,03/01/2018,12/31/2022,250,250,f5bfef31-7577-4813-8e94-cd127eb457da
kenya_A000662,12/31/2018,07/01/2019,40,37.41658,0.13246,A000662,,,kenya,03/01/2018,12/31/2022,250,250,f5bfef31-7577-4813-8e94-cd127eb457da
kenya_A000662,07/01/2019,12/31/2019,40,37.41658,0.13246,A000662,,,kenya,03/01/2018,12/31/2022,250,250,f5bfef31-7577-4813-8e94-cd127eb457da
kenya_A000662,12/31/2019,07/01/2020,40,37.41658,0.13246,A000662,,,kenya,03/01/2018,12/31/2022,250,250,f5bfef31-7577-4813-8e94-cd127eb457da
kenya_A000662,07/01/2020,12/31/2020,40,37.41658,0.13246,A000662,,,kenya,03/01/2018,12/31/2022,250,250,f5bfef31-7577-4813-8e94-cd127eb457da
kenya_A000662,12/31/2020,07/01/2021,40,37.41658,0.13246,A000662,,,kenya,03/01/2018,12/31/2022,250,250,f5bfef31-7577-4813-8e94-cd127eb457da
kenya_A000662,07/01/2021,12/31/2021,40,37.41658,0.13246,A000662,,,kenya,03/01/2018,12/31/2022,250,250,f5bfef31-7577-4813-8e94-cd127eb457da
kenya_A000662,12/31/2021,07/01/2022,40,37.41658,0.13246,A000662,,,kenya,03/01/2018,12/31/2022,250,250,f5bfef31-7577-4813-8e94-cd127eb457da
kenya_A000662,07/01/2022,12/31/2022,40,37.41658,0.13246,A000662,,,kenya,03/01/2018,12/31/2022,250,250,f5bfef31-7577-4813-8e94-cd127eb457da
kenya_A000662,12/31/2022,03/01/2023,40,37.41658,0.13246,A000662,,,kenya,03/01/2018,12/31/2022,250,250,f5bfef31-7577-4813-8e94-cd127eb457da
kenya_A000669,12/31/2017,07/01/2018,41,37.14501,0.10258,A000669,,,kenya,03/01/2018,12/31/2022,250,250,98a812f0-979c-4ac3-9085-6db256d84397
kenya_A000669,07/01/2018,12/31/2018,41,37.14501,0.10258,A000669,,,kenya,03/01/2018,12/31/2022,250,250,98a812f0-979c-4ac3-9085-6db256d84397
kenya_A000669,12/31/2018,07/01/2019,41,37.14501,0.10258,A000669,,,kenya,03/01/2018,12/31/2022,250,250,98a812f0-979c-4ac3-9085-6db256d84397
kenya_A000669,07/01/2019,12/31/2019,41,37.14501,0.10258,A000669,,,kenya,03/01/2018,12/31/2022,250,250,98a812f0-979c-4ac3-9085-6db256d84397
kenya_A000669,12/31/2019,07/01/2020,41,37.14501,0.10258,A000669,,,kenya,03/01/2018,12/31/2022,250,250,98a812f0-979c-4ac3-9085-6db256d84397
kenya_A000669,07/01/2020,12/31/2020,41,37.14501,0.10258,A000669,,,kenya,03/01/2018,12/31/2022,250,250,98a812f0-979c-4ac3-9085-6db256d84397
kenya_A000669,12/31/2020,07/01/2021,41,37.14501,0.10258,A000669,,,kenya,03/01/2018,12/31/2022,250,250,98a812f0-979c-4ac3-9085-6db256d84397
kenya_A000669,07/01/2021,12/31/2021,41,37.14501,0.10258,A000669,,,kenya,03/01/2018,12/31/2022,250,250,98a812f0-979c-4ac3-9085-6db256d84397
kenya_A000669,12/31/2021,07/01/2022,41,37.14501,0.10258,A000669,,,kenya,03/01/2018,12/31/2022,250,250,98a812f0-979c-4ac3-9085-6db256d84397
kenya_A000669,07/01/2022,12/31/2022,41,37.14501,0.10258,A000669,,,kenya,03/01/2018,12/31/2022,250,250,98a812f0-979c-4ac3-9085-6db256d84397
kenya_A000669,12/31/2022,03/01/2023,41,37.14501,0.10258,A000669,,,kenya,03/01/2018,12/31/2022,250,250,98a812f0-979c-4ac3-9085-6db256d84397
kenya_A000684,12/31/2017,07/01/2018,42,37.12034,0.09363,A000684,,,kenya,03/01/2018,12/31/2022,250,250,d0d6acf0-9640-4674-8a19-2d0b5c854f49
kenya_A000684,07/01/2018,12/31/2018,42,37.12034,0.09363,A000684,,,kenya,03/01/2018,12/31/2022,250,250,d0d6acf0-9640-4674-8a19-2d0b5c854f49
kenya_A000684,12/31/2018,07/01/2019,42,37.12034,0.09363,A000684,,,kenya,03/01/2018,12/31/2022,250,250,d0d6acf0-9640-4674-8a19-2d0b5c854f49
kenya_A000684,07/01/2019,12/31/2019,42,37.12034,0.09363,A000684,,,kenya,03/01/2018,12/31/2022,250,250,d0d6acf0-9640-4674-8a19-2d0b5c854f49
kenya_A000684,12/31/2019,07/01/2020,42,37.12034,0.09363,A000684,,,kenya,03/01/2018,12/31/2022,250,250,d0d6acf0-9640-4674-8a19-2d0b5c854f49
kenya_A000684,07/01/2020,12/31/2020,42,37.12034,0.09363,A000684,,,kenya,03/01/2018,12/31/2022,250,250,d0d6acf0-9640-4674-8a19-2d0b5c854f49
kenya_A000684,12/31/2020,07/01/2021,42,37.12034,0.09363,A000684,,,kenya,03/01/2018,12/31/2022,250,250,d0d6acf0-9640-4674-8a19-2d0b5c854f49
kenya_A000684,07/01/2021,12/31/2021,42,37.12034,0.09363,A000684,,,kenya,03/01/2018,12/31/2022,250,250,d0d6acf0-9640-4674-8a19-2d0b5c854f49
kenya_A000684,12/31/2021,07/01/2022,42,37.12034,0.09363,A000684,,,kenya,03/01/2018,12/31/2022,250,250,d0d6acf0-9640-4674-8a19-2d0b5c854f49
kenya_A000684,07/01/2022,12/31/2022,42,37.12034,0.09363,A000684,,,kenya,03/01/2018,12/31/2022,250,250,d0d6acf0-9640-4674-8a19-2d0b5c854f49
kenya_A000684,12/31/2022,03/01/2023,42,37.12034,0.09363,A000684,,,kenya,03/01/2018,12/31/2022,250,250,d0d6acf0-9640-4674-8a19-2d0b5c854f49
kenya_A000688,12/31/2017,07/01/2018,43,37.04907,0.10013,A000688,,,kenya,03/01/2018,12/31/2022,250,250,7518eded-6555-43ec-bd2c-faf3df032737
kenya_A000688,07/01/2018,12/31/2018,43,37.04907,0.10013,A000688,,,kenya,03/01/2018,12/31/2022,250,250,7518eded-6555-43ec-bd2c-faf3df032737
kenya_A000688,12/31/2018,07/01/2019,43,37.04907,0.10013,A000688,,,kenya,03/01/2018,12/31/2022,250,250,7518eded-6555-43ec-bd2c-faf3df032737
kenya_A000688,07/01/2019,12/31/2019,43,37.04907,0.10013,A000688,,,kenya,03/01/2018,12/31/2022,250,250,7518eded-6555-43ec-bd2c-faf3df032737
kenya_A000688,12/31/2019,07/01/2020,43,37.04907,0.10013,A000688,,,kenya,03/01/2018,12/31/2022,250,250,7518eded-6555-43ec-bd2c-faf3df032737
kenya_A000688,07/01/2020,12/31/2020,43,37.04907,0.10013,A000688,,,kenya,03/01/2018,12/31/2022,250,250,7518eded-6555-43ec-bd2c-faf3df032737
kenya_A000688,12/31/2020,07/01/2021,43,37.04907,0.10013,A000688,,,kenya,03/01/2018,12/31/2022,250,250,7518eded-6555-43ec-bd2c-faf3df032737
kenya_A000688,07/01/2021,12/31/2021,43,37.04907,0.10013,A000688,,,kenya,03/01/2018,12/31/2022,250,250,7518eded-6555-43ec-bd2c-faf3df032737
kenya_A000688,12/31/2021,07/01/2022,43,37.04907,0.10013,A000688,,,kenya,03/01/2018,12/31/2022,250,250,7518eded-6555-43ec-bd2c-faf3df032737
kenya_A000688,07/01/2022,12/31/2022,43,37.04907,0.10013,A000688,,,kenya,03/01/2018,12/31/2022,250,250,7518eded-6555-43ec-bd2c-faf3df032737
kenya_A000688,12/31/2022,03/01/2023,43,37.04907,0.10013,A000688,,,kenya,03/01/2018,12/31/2022,250,250,7518eded-6555-43ec-bd2c-faf3df032737
kenya_A000691,12/31/2017,07/01/2018,44,37.11346,0.058,A000691,,,kenya,03/01/2018,12/31/2022,250,250,40688c12-4b36-459a-b9e0-7b90b39000ea
kenya_A000691,07/01/2018,12/31/2018,44,37.11346,0.058,A000691,,,kenya,03/01/2018,12/31/2022,250,250,40688c12-4b36-459a-b9e0-7b90b39000ea
kenya_A000691,12/31/2018,07/01/2019,44,37.11346,0.058,A000691,,,kenya,03/01/2018,12/31/2022,250,250,40688c12-4b36-459a-b9e0-7b90b39000ea
kenya_A000691,07/01/2019,12/31/2019,44,37.11346,0.058,A000691,,,kenya,03/01/2018,12/31/2022,250,250,40688c12-4b36-459a-b9e0-7b90b39000ea
kenya_A000691,12/31/2019,07/01/2020,44,37.11346,0.058,A000691,,,kenya,03/01/2018,12/31/2022,250,250,40688c12-4b36-459a-b9e0-7b90b39000ea
kenya_A000691,07/01/2020,12/31/2020,44,37.11346,0.058,A000691,,,kenya,03/01/2018,12/31/2022,250,250,40688c12-4b36-459a-b9e0-7b90b39000ea
kenya_A000691,12/31/2020,07/01/2021,44,37.11346,0.058,A000691,,,kenya,03/01/2018,12/31/2022,250,250,40688c12-4b36-459a-b9e0-7b90b39000ea
kenya_A000691,07/01/2021,12/31/2021,44,37.11346,0.058,A000691,,,kenya,03/01/2018,12/31/2022,250,250,40688c12-4b36-459a-b9e0-7b90b39000ea
kenya_A000691,12/31/2021,07/01/2022,44,37.11346,0.058,A000691,,,kenya,03/01/2018,12/31/2022,250,250,40688c12-4b36-459a-b9e0-7b90b39000ea
kenya_A000691,07/01/2022,12/31/2022,44,37.11346,0.058,A000691,,,kenya,03/01/2018,12/31/2022,250,250,40688c12-4b36-459a-b9e0-7b90b39000ea
kenya_A000691,12/31/2022,03/01/2023,44,37.11346,0.058,A000691,,,kenya,03/01/2018,12/31/2022,250,250,40688c12-4b36-459a-b9e0-7b90b39000ea
